true signal,adaptive,adaptive_2,adaptive_3_index,adaptive_3,adaptive_4_index,adaptive_4,adaptive_5_index,adaptive_5,adaptive_6_index,adaptive_6,,adaptive_7_index,adaptive_7,
166.75,166.75,166.75,5,166.75,5,166.75,5,166.75,5,166.756,,5,166.756,
167.08,167.08,167.08,6,167.08,6,167.08,6,167.08,6,167.08,0.07,6,167.08,0.07
167.42,167.42,167.42,7,167.42,7,167.42,7,167.42,10,169.25,0.5,10,169.25,0.5
168.08,,,11,169.75,9,168.58,11,169.75,11,169.75,0.6,11,169.75,0.6
168.58,,,14,171,10,169.25,12,170.33,12,170.33,0.72,12,170.33,0.72
169.25,169.75,169.75,15,171,11,169.75,13,170.58,13,170.58,0.77,13,170.58,0.77
169.75,,,16,171,12,170.33,14,171,14,171,0.78,14,171,0.78
170.33,,,17,171,13,170.58,15,171,15,171,0.35,15,171,0.35
170.58,,,18,171.08,14,171,16,171,17,171,0.25,17,171,0.25
171,171,171,20,168.5,15,171,17,171,20,168.5,0.63,21,168.67,0.6
171,,171,21,168.67,16,171,21,168.67,21,168.67,0.62,22,168.58,0.57
171,171,171,22,168.58,17,171,22,168.58,22,168.58,0.55,23,168.75,0.52
171,,171,23,168.75,18,171.08,23,168.75,23,168.75,0.59,24,168.67,0.53
171.08,171.08,171.08,24,168.67,19,168.25,24,168.67,24,168.67,0.6,25,168.75,0.55
168.25,168.25,,25,168.75,20,168.5,25,168.75,25,168.75,0.12,26,168.17,0.2
168.5,168.5,168.5,26,168.17,21,168.67,26,168.17,29,167.83,0.27,30,167.5,0.32
168.67,168.67,168.67,30,167.5,22,168.58,27,168.17,32,168.75,0.43,33,168.58,0.5
168.58,168.58,168.58,34,168.58,23,168.75,30,167.5,33,168.58,0.43,34,168.58,0.48
168.75,168.75,168.75,38,170.92,24,168.67,31,167.67,34,168.58,0.42,35,169.75,0.7
168.67,168.67,168.67,40,170.42,25,168.75,32,168.75,35,169.75,0.64,36,170.25,0.68
168.75,,168.75,41,169.67,26,168.17,33,168.58,36,170.25,0.55,37,171,0.7
168.17,168.17,,42,168.92,27,168.17,34,168.58,37,171,0.52,38,170.92,0.5
168.17,,168.17,43,168.5,28,168,35,169.75,38,170.92,0.5,39,170.67,0.55
168,,,44,168,29,167.83,36,170.25,39,170.67,0.55,40,170.42,0.37
167.83,,,46,167.17,30,167.5,37,171,40,170.42,0.37,42,168.92,0.57
167.5,167.5,167.5,50,166.75,31,167.67,38,170.92,41,169.67,0.42,43,168.5,0.5
167.67,,,54,166.25,32,168.75,39,170.67,42,168.92,0.42,44,168,0.58
168.75,,,58,166.67,33,168.58,40,170.42,43,168.5,0.48,45,167.58,0.62
168.58,168.58,,62,166.75,34,168.58,42,168.92,44,168,0.53,46,167.17,0.65
168.58,,168.58,66,167.42,35,169.75,43,168.5,45,167.58,0.57,47,167.25,0.37
169.75,,,70,167.42,36,170.25,44,168,46,167.17,0.5,49,166.83,0.37
170.25,,,74,169.42,37,171,45,167.58,47,167.25,0.37,51,166.83,0.27
171,,,75,169.42,38,170.92,46,167.17,48,166.92,0.35,55,166.75,0.2
170.92,170.92,170.92,76,168.58,39,170.67,47,167.25,50,166.75,0.28,59,166.58,0.15
170.67,,,77,168.5,40,170.42,49,166.83,53,166.75,0.2,63,167,0.22
170.42,,170.42,78,167.92,41,169.67,53,166.75,57,166.67,0.13,67,167.42,0.22
169.67,169.67,169.67,79,167.67,42,168.92,57,166.67,61,166.58,0.13,71,169.08,0.55
168.92,,168.92,80,167.5,43,168.5,61,166.58,65,167.42,0.24,72,169.17,0.55
168.5,168.5,168.5,82,167.25,44,168,65,167.42,69,168.25,0.37,73,169.42,0.57
168,,168,86,166.75,45,167.58,68,165.33,70,168.25,0.37,74,169.42,0.48
167.58,167.58,,90,166.75,46,167.17,69,168.25,71,169.08,0.52,75,169.42,0.4
167.17,,167.17,94,166.67,47,167.25,70,168.25,72,169.17,0.52,77,168.5,0.25
167.25,167.25,,98,166.58,48,166.92,71,169.08,73,169.42,0.4,81,167.25,0.48
166.92,,,,,49,166.83,72,169.17,74,169.42,0.23,82,167.25,0.43
166.83,,,,,50,166.75,73,169.42,78,167.92,0.53,83,167.17,0.45
166.75,166.83,166.75,,,51,166.83,74,169.42,79,167.67,0.42,84,167,0.48
166.83,,,,,52,166.83,75,169.42,80,167.5,0.43,85,167,0.3
166.83,,,,,53,166.75,76,168.58,81,167.25,0.43,88,166.83,0.08
166.75,166.75,,,,54,166.25,77,168.5,82,167.25,0.43,92,166.75,0.1
166.25,,166.25,,,55,166.75,78,167.92,83,167.17,0.15,96,166.67,0.1
166.75,,,,,56,166.58,79,167.67,87,167.17,0.1,100,166.5,0.1
166.58,,,,,57,166.67,80,167.5,91,166.67,0.17,,,
166.67,166.67,,,,58,166.67,81,167.25,95,166.67,0.12,,,
166.67,,166.67,,,59,166.58,83,167.17,99,166.58,0.13,,,
166.58,,,,,60,166.58,87,167.17,,,,,,
166.58,,,,,61,166.58,91,166.67,,,,,,
166.58,166.58,,,,62,166.75,95,166.67,,,,,,
166.75,,166.75,,,63,167,98,166.58,,,,,,
167,,,,,64,167.17,101,166.5,,,,,,
167.17,,,,,65,167.42,,,,,,,,
167.42,167.42,,,,66,167.42,,,,,,,,
167.42,,167.42,,,67,167.42,,,,,,,,
167.42,,,,,68,165.33,,,,,,,,
165.33,,,,,69,168.25,,,,,,,,
168.25,168.25,,,,70,168.25,,,,,,,,
157.17,,166.75,,,71,169.08,,,,,,,,
169.08,,,,,72,169.17,,,,,,,,
169.17,,,,,73,169.42,,,,,,,,
169.42,169.42,169.42,,,74,169.42,,,,,,,,
169.42,,,,,75,169.42,,,,,,,,
157.83,,166.75,,,76,168.58,,,,,,,,
168.58,,168.58,,,77,168.5,,,,,,,,
168.5,168.5,168.5,,,78,167.92,,,,,,,,
167.92,,167.92,,,79,167.67,,,,,,,,
167.67,,167.67,,,80,167.5,,,,,,,,
167.5,,167.5,,,81,167.25,,,,,,,,
167.25,167.25,167.25,,,82,167.25,,,,,,,,
167.25,,167.25,,,83,167.17,,,,,,,,
167.17,,,,,84,167,,,,,,,,
167,,,,,85,167,,,,,,,,
167,167,,,,86,166.75,,,,,,,,
166.75,,166.75,,,87,166.75,,,,,,,,
155.92,,,,,88,166.83,,,,,,,,
166.83,,,,,89,166.75,,,,,,,,
166.75,166.75,,,,90,166.75,,,,,,,,
166.75,,166.75,,,91,166.67,,,,,,,,
166.67,,,,,92,166.75,,,,,,,,
166.75,,,,,93,166.58,,,,,,,,
166.58,166.58,,,,94,166.67,,,,,,,,
166.67,,166.67,,,95,166.67,,,,,,,,
166.67,,,,,96,166.67,,,,,,,,
166.67,,,,,97,166.58,,,,,,,,
166.58,166.58,,,,98,166.58,,,,,,,,
166.58,,166.58,,,99,166.58,,,,,,,,
166.58,,,,,100,166.5,,,,,,,,
166.5,,,,,101,166.5,,,,,,,,
166.5,166.5,,,,,,,,,,,,,
