true signal,kalman,moving average,median
166.75,,166.5,166.75
167.08,,166.65,167.08
167.42,158.65,166.87,167.42
168.08,162.33,167.18,168.08
168.58,164.77,167.58,168.58
169.25,166.52,168.08,169.25
169.75,167.78,168.62,169.75
170.33,168.78,169.2,170.33
170.58,169.48,169.7,170.58
171,170.07,170.18,171
171,170.44,170.53,171
171,170.66,170.78,171
171,170.79,170.92,171
171.08,170.9,171.02,171.08
168.25,169.87,170.47,168.25
168.5,169.33,169.97,168.5
168.67,169.07,169.5,168.67
168.58,168.88,169.02,168.58
168.75,168.83,168.55,168.75
168.67,168.77,168.63,168.67
168.75,168.76,168.68,168.75
168.17,168.53,168.58,168.17
168.17,168.39,168.5,168.17
168,168.24,168.35,168
167.83,168.08,168.18,167.83
167.5,167.85,167.93,167.5
167.67,167.78,167.83,167.67
168.75,168.16,167.95,168.75
168.58,168.32,168.07,168.58
168.58,168.42,168.22,168.58
169.75,168.94,168.67,169.75
170.25,169.45,169.18,170.25
171,170.06,169.63,171
170.92,170.39,170.1,170.92
170.67,170.5,170.52,170.67
170.42,170.47,170.65,170.42
169.67,170.16,170.54,169.67
168.92,169.67,170.12,168.92
168.5,169.22,169.64,168.5
168,168.74,169.1,168
167.58,168.29,168.53,167.58
167.17,167.85,168.03,167.17
167.25,167.62,167.7,167.25
166.92,167.34,167.38,166.92
166.83,167.14,167.15,166.83
166.75,166.99,166.98,166.75
166.83,166.93,166.92,166.83
166.83,166.89,166.83,166.83
166.75,166.84,166.8,166.75
166.25,166.61,166.68,166.25
166.75,166.66,166.68,166.75
166.58,166.63,166.63,166.58
166.67,166.65,166.6,166.67
166.67,166.66,166.58,166.67
166.58,166.63,166.65,166.58
166.58,166.61,166.62,166.58
166.58,166.6,166.62,166.58
166.75,166.66,166.63,166.75
167,166.79,166.7,167
167.17,166.94,166.82,167.17
167.42,167.13,166.98,167.42
167.42,167.24,167.15,167.42
167.42,167.31,167.29,167.42
165.33,166.54,166.95,165.33
168.25,167.21,167.17,168.25
157.17,163.29,165.12,167.42
169.08,165.55,165.45,169.08
169.17,166.96,165.8,169.17
169.42,167.92,166.62,169.42
169.42,168.51,166.85,169.42
157.83,164.34,166.98,169.17
168.58,165.99,166.88,168.58
168.5,166.97,166.75,168.5
167.92,167.34,166.45,167.92
167.67,167.47,166.1,167.67
167.5,167.48,168.03,167.5
167.25,167.39,167.77,167.25
167.25,167.34,167.52,167.25
167.17,167.27,167.37,167.17
167,167.17,167.23,167
167,167.1,167.13,167
166.75,166.96,167.03,166.75
155.92,162.65,164.77,167
166.83,164.28,164.7,166.83
166.75,165.25,164.65,166.75
166.75,165.83,164.6,166.75
166.67,166.16,164.58,166.67
166.75,166.39,166.75,166.75
166.58,166.46,166.7,166.58
166.67,166.54,166.68,166.67
166.67,166.59,166.67,166.67
166.67,166.62,166.67,166.67
166.58,166.61,166.63,166.58
166.58,166.6,166.63,166.58
166.58,166.59,166.62,166.58
166.5,166.55,166.58,166.5
166.5,166.53,166.55,166.5
