id,value,feed_id,created_at,lat,lon,ele
0ETQXJYN0KA1YF6NMDS3ZFWS1C,3.084,1695211,2021-09-09 20:48:20 UTC,,,
0ETQXM8NYRQJF8J0V396QZAG5Z,3.084,1695211,2021-09-09 20:50:38 UTC,,,
0ETQXN2SX47S72Y6DC0KYQCHEA,3.084,1695211,2021-09-09 20:52:03 UTC,,,
0ETQXNWTZSW6E5AEHSNTKHWPNS,3.084,1695211,2021-09-09 20:53:29 UTC,,,
0ETQXPQ3NAVNGH1SCN9Q0G5ABT,3.079,1695211,2021-09-09 20:54:55 UTC,,,
0ETQXQH45P6AQ0WGAVJ6BF6N90,3.079,1695211,2021-09-09 20:56:20 UTC,,,
0ETQXRBC6R6BEZQFNHDQVVYBA3,3.079,1695211,2021-09-09 20:57:46 UTC,,,
0ETQXS57D7KP8K5F4A3K3J09C2,3.079,1695211,2021-09-09 20:59:11 UTC,,,
0ETQXSZKY253AYYJ2A8YXJR1Q1,3.079,1695211,2021-09-09 21:00:37 UTC,,,
0ETQXTT7K2XAMBD78KHVKAJK2J,3.079,1695211,2021-09-09 21:02:04 UTC,,,
0ETQXVM0DSC42MTQRV91Z77DNF,3.079,1695211,2021-09-09 21:03:29 UTC,,,
0ETQXWDQSF39B88G9JSWTQAFFD,3.025,1695211,2021-09-09 21:04:53 UTC,,,
0ETQXX7FDZYE5YPZF5FJY7AWH3,2.996,1695211,2021-09-09 21:06:18 UTC,,,
0ETQXY1FAY995ZJ7SBHFRY4RV1,2.923,1695211,2021-09-09 21:07:43 UTC,,,
0ETQXYV6NC82VBX8EK2S3MCC7C,2.923,1695211,2021-09-09 21:09:07 UTC,,,
0ETQXZNX4BF7FTXP64SK89ZHWR,2.918,1695211,2021-09-09 21:10:35 UTC,,,
0ETQY0GW47710HWA4GNDRA58NJ,2.757,1695211,2021-09-09 21:12:03 UTC,,,
0ETQY1AHRS6ZTSN1H4W7NBRQY4,2.551,1695211,2021-09-09 21:13:27 UTC,,,
0ETQY24RA5VS8KJEBST60FBM59,2.243,1695211,2021-09-09 21:14:53 UTC,,,
0ETQY2YVNWS2WTGBJYKXWCQXWP,1.984,1695211,2021-09-09 21:16:18 UTC,,,
0ETQY3RX6D1VSDBNZN6KJWSH27,1.823,1695211,2021-09-09 21:17:44 UTC,,,
0ETQY4KA6YQA07C43GXWSWARD4,1.564,1695211,2021-09-09 21:19:10 UTC,,,
0ETQY5D4XMVBW40614KSK41W4G,1.295,1695211,2021-09-09 21:20:35 UTC,,,
0ETQY67EEKQGWR4FEQKJT6RR03,1.222,1695211,2021-09-09 21:22:01 UTC,,,
0ETQY722JKQF231YQXAJG4067S,0.978,1695211,2021-09-09 21:23:28 UTC,,,
0ETQY7W52ADP3M552VMXSK73S9,0.533,1695211,2021-09-09 21:24:54 UTC,,,
0ETQY8NT2FBPNHV9AF2A42VRWP,0.362,1695211,2021-09-09 21:26:18 UTC,,,
0ETQYAYGEBVH6SAKQHTQJDQAJZ,0.362,1695211,2021-09-09 21:30:16 UTC,,,
0ETQYC1T96HQ6V4Y0TPEQJK715,0.357,1695211,2021-09-09 21:32:12 UTC,,,
